packet_version_number,packet_type,secondary_header_flag,application_process_id_process_id,application_process_id_packet_category,sequence_flags,sequence_count,data_length,coarse_time,fine_time,sync_marker,data_take_id,ecc_number,ignore_0,test_mode,rx_channel_id,instrument_configuration_id,sub_commutated_index,sub_commutated_data,space_packet_count,pri_count,error_flag,ignore_1,baq_mode,baq_block_length,ignore_2,range_decimation,rx_gain,tx_ramp_rate_polarity,tx_ramp_rate_magnitude,tx_pulse_start_frequency_polarity,tx_pulse_start_frequency_magnitude,tx_pulse_length,ignore_3,rank,pulse_repetition_interval,sampling_window_start_time,sampling_window_length,sab_ssb_calibration_p,sab_ssb_polarisation,sab_ssb_temp_comp,sab_ssb_ignore_0,sab_ssb_elevation_beam_address,sab_ssb_ignore_1,sab_ssb_azimuth_beam_address,ses_ssb_cal_mode,ses_ssb_ignore_0,ses_ssb_tx_pulse_number,ses_ssb_signal_type,ses_ssb_ignore_1,ses_ssb_swap,ses_ssb_swath_number,number_of_quads,ignore_4,azi,baq_n,baqmod,cal_iter,ele_count,cal_mode,cal_p,cal_type,data_delay,offset,packet_idx,pol,rgdec,rx,signal_type,swath,swl,swst,tstmod,txpl,txpl_,txprr,txprr_,txpsf
0,0,1,65,12,3,0,32381,1366374707,63095,892270675,194628384,11,0,0,1,7,1,49426,0,3775,0,0,5,31,0,1,12,1,2869,0,19125,1706,0,9,20065,4366,9715,0,7,0,0,0,0,0,1,0,0,1,0,0,0,12886,0,0,31,5,0,0,1,0,0,4406,0,0,7,1,1,1,0,9715,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,1,32381,1366374707,63130,892270675,194628384,11,0,0,1,7,2,7931,1,3776,0,0,5,31,0,1,12,1,2869,0,19125,1706,0,9,20065,4366,9715,0,7,0,0,0,0,0,1,0,0,1,0,0,0,12886,0,0,31,5,0,0,1,0,0,4406,32388,1,7,1,1,1,0,9715,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,2,32381,1366374707,63165,892270675,194628384,11,0,0,1,7,3,20714,2,3777,0,0,5,31,0,1,12,1,2869,0,19125,1706,0,9,20065,4366,9715,0,7,0,0,0,0,0,1,0,0,1,0,0,0,12886,0,0,31,5,0,0,1,0,0,4406,64776,2,7,1,1,1,0,9715,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,3,32381,1366374707,63200,892270675,194628384,11,0,0,1,7,4,63149,3,3778,0,0,5,31,0,1,12,1,2869,0,19125,1706,0,9,20065,4366,9715,0,7,0,0,0,0,0,1,0,0,1,0,0,0,12886,0,0,31,5,0,0,1,0,0,4406,97164,3,7,1,1,1,0,9715,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,4,32381,1366374707,63235,892270675,194628384,11,0,0,1,7,5,49495,4,3779,0,0,5,31,0,1,12,1,2869,0,19125,1706,0,9,20065,4366,9715,0,7,0,0,0,0,0,1,0,0,1,0,0,0,12886,0,0,31,5,0,0,1,0,0,4406,129552,4,7,1,1,1,0,9715,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,5,32381,1366374707,63270,892270675,194628384,11,0,0,1,7,6,22723,5,3780,0,0,5,31,0,1,12,1,2869,0,19125,1706,0,9,20065,4366,9715,0,7,0,0,0,0,0,1,0,0,1,0,0,0,12886,0,0,31,5,0,0,1,0,0,4406,161940,5,7,1,1,1,0,9715,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,6,32381,1366374707,63305,892270675,194628384,11,0,0,1,7,7,61959,6,3781,0,0,5,31,0,1,12,1,2869,0,19125,1706,0,9,20065,4366,9715,0,7,0,0,0,0,0,1,0,0,1,0,0,0,12886,0,0,31,5,0,0,1,0,0,4406,194328,6,7,1,1,1,0,9715,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,7,32381,1366374707,63340,892270675,194628384,11,0,0,1,7,8,61135,7,3782,0,0,5,31,0,1,12,1,2869,0,19125,1706,0,9,20065,4366,9715,0,7,0,0,0,0,0,1,0,0,1,0,0,0,12886,0,0,31,5,0,0,1,0,0,4406,226716,7,7,1,1,1,0,9715,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,8,11765,1366374707,63726,892270675,194628384,11,0,0,1,7,9,16714,8,3793,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,0,0,1,1,0,4406,259104,8,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,9,11765,1366374707,63761,892270675,194628384,11,0,0,1,7,10,61514,9,3794,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,1,0,1,1,0,4406,270876,9,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,10,11765,1366374707,63796,892270675,194628384,11,0,0,1,7,11,40914,10,3795,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,2,0,1,1,0,4406,282648,10,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,11,11765,1366374707,63831,892270675,194628384,11,0,0,1,7,12,14150,11,3796,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,3,0,1,1,0,4406,294420,11,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,12,11765,1366374707,63866,892270675,194628384,11,0,0,1,7,13,50408,12,3797,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,4,0,1,1,0,4406,306192,12,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,13,11765,1366374707,63901,892270675,194628384,11,0,0,1,7,14,9931,13,3798,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,5,0,1,1,0,4406,317964,13,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,14,11765,1366374707,63936,892270675,194628384,11,0,0,1,7,15,50530,14,3799,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,6,0,1,1,0,4406,329736,14,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,15,11765,1366374707,63971,892270675,194628384,11,0,0,1,7,16,23663,15,3800,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,7,0,1,1,0,4406,341508,15,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,16,11765,1366374707,64006,892270675,194628384,11,0,0,1,7,17,50632,16,3801,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,8,0,1,1,0,4406,353280,16,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,17,11765,1366374707,64041,892270675,194628384,11,0,0,1,7,18,26600,17,3802,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,9,0,1,1,0,4406,365052,17,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,18,11765,1366374707,64076,892270675,194628384,11,0,0,1,7,19,81,18,3803,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,10,0,1,1,0,4406,376824,18,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,19,11765,1366374707,64111,892270675,194628384,11,0,0,1,7,20,28985,19,3804,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,11,0,1,1,0,4406,388596,19,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,20,11765,1366374707,64146,892270675,194628384,11,0,0,1,7,21,13056,20,3805,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,12,0,1,1,0,4406,400368,20,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,21,11765,1366374707,64181,892270675,194628384,11,0,0,1,7,22,0,21,3806,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,13,0,1,1,0,4406,412140,21,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,22,11765,1366374707,64216,892270675,194628384,11,0,0,1,7,23,48324,22,3807,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,14,0,1,1,0,4406,423912,22,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,23,11765,1366374707,64251,892270675,194628384,11,0,0,1,7,24,63701,23,3808,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,15,0,1,1,0,4406,435684,23,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,24,11765,1366374707,64286,892270675,194628384,11,0,0,1,7,25,48959,24,3809,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,16,0,1,1,0,4406,447456,24,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,25,11765,1366374707,64321,892270675,194628384,11,0,0,1,7,26,9015,25,3810,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,0,1,0,0,8,0,0,50,2340,0,0,31,0,17,0,1,1,0,4406,459228,25,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
0,0,1,65,12,3,26,11765,1366374707,64356,892270675,194628384,11,0,0,1,7,27,16041,26,3811,0,0,0,31,0,1,0,1,2869,0,19125,1706,0,9,20065,4366,1806,1,7,0,0,8,0,3,1,0,0,8,0,0,50,2340,0,3,31,0,18,0,1,1,0,4406,471000,26,7,1,1,8,50,1806,4366,0,45.4512,1706,-1.92738,-2869,43.8013
